比尔有9颗弹球,吉姆比比尔少7颗.请问比尔有几颗弹球?
维玛拉有8个橙子,尼马尔比维玛拉多10个橙子.尼马尔有多少个橘子?
卡马尔有20个球,尼马尔比卡马尔多8个球.尼马尔有多少个球?
朵拉有20张票,罗斯比朵拉多17张票.罗斯有几张票?
拉尼尔有12票,卡玛拉比尼玛拉多8票.卡玛拉有多少票?
拉萨尔有12个数据包,苏尼尔比拉萨尔多7个数据包.苏尼尔有多少包?
苏珊有10个白色席位玛丽比苏珊多7个白色席位.玛丽有多少个白色座位?
卡雅有11个玩具,萨纳比卡雅多8个玩具.萨纳有多少个玩具?
苏尼尔有15杯水,卡玛尔比苏尼尔多8杯水.卡玛尔有几杯水?
纳兹亚有14件t恤,卡纳法比纳兹亚多19件t恤.卡纳法有多少件t恤?
比尔有19个玻璃球,吉姆比比尔多9个.吉姆有多少玻璃球?
爱玛有10个水果,维姆比爱玛多8个水果.维姆有多少种水果?
萨马尔有15个弹珠,尼马尔比萨马尔多11个弹珠.尼马尔有多少弹珠?
卡玛拉有24卢比,罗斯比卡玛拉多15卢比.罗斯有多少卢比?
尼玛拉有16个针,卡玛拉比尼玛拉多7个针.卡玛拉有多少个针?
拉希尔有10个数据包,卡马尔比拉希尔多4个.卡马尔有多少个数据包?
哈里有11块饼干,玛丽比哈里多5块饼干.玛丽有多少块饼干?
托尼有20个刀片,萨娜比托尼多10个刀片.萨娜有多少刀片?
拉维有13块蛋糕,卡马尔比拉维多8块蛋糕.卡马尔有多少块蛋糕?
埃德温有5块巧克力,卡纳法比埃德温多9块巧克力.卡纳法有多少巧克力?
费里有20块饼干,吉姆比费里多5块饼干.吉姆有多少块饼干?
塞拉客有13支钢笔,维姆比塞拉客多6支.维姆有多少支钢笔?
那琳在他的电脑里有11个文件,尼马尔在他的电脑里比那琳多4个文件.尼马尔有多少文件?
玛丽有12个午餐包,罗斯比玛丽多6个午餐包.罗斯有多少个包?
维玛拉今年34岁,卡玛拉比维玛拉大9岁.卡玛拉多大了?
苏尼尔 40岁,纳林比苏尼尔大20岁.纳林多大了?
拉维今年25岁,他的朋友比他大9岁.他的朋友多大了?
卡皮尔30岁,他的朋友比卡皮尔大19岁.他的朋友多大了?
维姆25岁,他的朋友比他大2岁.他的朋友多大了?
苏尼尔 20岁,纳林比苏尼尔大5岁.纳林多大了?
费里有15块饼干,吉姆比费里多10块饼干.吉姆有多少块饼干?
尼拉有13本书,维姆比尼拉多6本书.维姆有多少本书?
那琳在他的电脑里有12个文件,而维姆在他的电脑里比那琳多5个文件.维姆有多少文件?
卡马尔有15个午餐包,罗斯比卡马尔多6个午餐包.卡马尔有多少个包?
维玛拉15岁,卡玛拉比维玛拉大9岁.卡玛拉多大了?
苏尼尔 25岁,维萨尔比苏尼尔年长20岁.维萨尔多大了?
卡玛拉今年20岁,她的朋友比他大9岁.她的朋友多大了?
卡皮尔25岁,他的朋友比卡皮尔大15岁.他的朋友多大了?
维姆20岁,他的朋友比他大4岁.他的朋友多大了?
苏尼尔 21岁,那琳比苏尼尔大6岁.纳林多大了?
费里有13块饼干,吉姆比费里多6块饼干.吉姆有多少块饼干?
提拉克有12支铅笔,维姆比提拉克多3支铅笔.维姆有多少支铅笔?
奈尔马的桌子里有8个文件,尼马尔的桌子里比奈尔马多5个文件.尼马尔有多少文件?
卡马尔有11个午餐包,罗斯比卡马尔多7个午餐包.罗斯有多少包?
萨曼是一个15岁的男孩,卡玛拉比萨曼大9岁.卡玛拉多大了?
苏尼尔 40岁,纳林比苏尼尔大20岁.纳林多大了?
拉维25岁,他的朋友比他大9岁.他的朋友多大了?
卡皮尔30岁,他的朋友比卡皮尔大19岁.他的朋友多大了?
维姆25岁,他的朋友比他大2岁.他的朋友多大了?
萨曼是一个12岁的男人,凯文比萨曼大6岁.凯文多大了?
费里有19块饼干,吉姆比费里多8块饼干.吉姆有多少块饼干?
尼兰有13支钢笔,维姆比尼兰多6支.维姆有多少支钢笔?
纳林在他的电脑里有11个程序,尼马尔比纳林多5个程序.尼马尔有多少个程序?
杜克有12个午餐包,罗斯比杜克多7个午餐包.罗斯有多少包?
维玛拉11岁,卡玛拉比维玛拉大9岁.卡玛拉多大了?
苏尼尔 33岁,纳林比苏尼尔大18岁.纳林多大了?
卡皮尔30岁,他的朋友比卡皮尔大5岁.他的朋友多大了?
维姆25岁,他的朋友比他大12岁.他的朋友多大了?
苏尼尔 25岁,纳林比苏尼尔大5岁.纳林多大了?
哈里有20个玻璃球,吉姆比哈里多12个.吉姆有多少玻璃球?
阿迈勒有12个苹果,维姆比阿迈勒多6个苹果.维姆有多少个苹果?
尼玛尔有11个弹珠,而维姆比尼玛儿多10个弹珠.维姆有多少弹珠?
卡玛拉有13卢比,罗斯比卡玛拉多30卢比.罗斯有多少卢比?
尼玛拉有15个包,卡玛拉比尼玛拉多8个包.卡玛拉有多少个包?
拉希尔有11个数据包,卡马尔比拉希尔多3个.卡马尔有多少个包?
哈里有11块巧克力,玛丽比哈里多6块巧克力.玛丽有多少块巧克力?
托尼有20个纸盘子,而萨纳比托尼多11个纸盘子.萨纳有多少个纸盘子?
拉维有11块蛋糕,卡马尔比拉维多9块蛋糕.卡马尔有多少块蛋糕?
埃德温有2块巧克力,卡纳法比埃德温多9块巧克力.卡纳法有多少巧克力?
伊芙跑0.7英里,走0.6英里.伊芙跑得比走得远多少?
维姆跑了7英里,走了5英里.维姆跑得比走得远多少?
拉维在比赛中游了7英里,走了3英里.拉维游得比走得远多少?
伊芙跑了8英里,走了5英里.伊芙跑得比走得远多少?
尼马尔走了1英里,跑了0.6英里.尼马尔走得比跑得远多少?
伊芙跑了8.1111英里,走了2.444英里.伊芙跑得比走得远多少?
阿迈勒写了7页,打了5页.阿迈勒写的比打字的多多少?
球跳了3米,飞了2米.球跳得比飞得远多少?
狗跑0.7英里,游0.6英里.狗跑得比游得远多少?
卡马尔摘了20个苹果,扔了10个.卡马尔拿了多少,扔了多少?
拉维跑了11英里,走了16英里.拉维走得比跑得远多少?
苏尼尔跑了8英里,走了11英里.维姆走得比跑得远多少?
在一次比赛中,库萨尔游了7英里,走了13英里.拉维走得比游得远多少?
伊芙跑了8英里,走了15英里.伊芙走得比跑得远多少?
尼马尔走了11英里,跑了12.5英里.尼马尔跑得比走得远多少?
伊芙跑了8.1111英里,走了12.444英里.伊芙走得比跑得远多少?
维姆写了7页,打了15页.维姆打字比写字多多少?
球跳了3米,飞了12米.球飞得比跳得远多少?
狗跑0.7英里,游1.6英里.狗游得比跑得远多少?
卡马尔摘了20个橘子,扔了10个橘子.卡马尔拿了多少,扔了多少?
伊芙跑了0.1227英里,走了0.6345英里.伊芙跑得比走得远多少?
卡马尔跑了7英里,走了5英里.卡马尔跑得比走得远多少?
在一次比赛中,尼马尔游了8英里,走了2英里.尼马尔游得比走得远多少?
伊芙跑了8.5英里,走了5英里.伊芙跑得比走得远多少?
尼马尔走了10公里,跑了0.6公里.尼马尔走得比跑得远多少?
伊芙跑8.1111米,走2.444米.伊芙跑得比走得远多少?
维佳亚写了7篇文章,打了5篇文章.维佳亚写的比打字的多多少?
一只鸟跳了3米,飞了2米.鸟跳得比飞得远多少?
猫跑了8英里,游了1英里.猫跑得比游得远多少?
苏尼尔借了20个苹果,扔了10个.苏尼尔借的比扔的多多少?
伊芙跑了10英里,走了6英里.伊芙跑得比走得远多少?
维姆跑了8英里,走了5英里.维姆跑得比走得远多少?
拉维在一场比赛中学习了7门课程,记住了4门课程.拉维学到的比记忆多多少?
伊芙跑了8英里,走了6英里.伊芙跑得比走得远多少?
乌达里走了1英里,跑了0.6英里.乌达里走得比跑得远多少?
尼兰跑了8.1111英里,走了2.444英里.尼兰跑得比走得远多少?
萨默尔写了17页,打了6页的作业.萨默尔写的比打字多多少?
乌鸦跳3米,飞2米.乌鸦跳得比飞得远多少?
在一次比赛中,维马兰跑了0.7英里,游了0.6英里.维马兰跑得比游得远多少?
绿球跳了5米,飞了11米.球飞得比跳得远多少?
伊芙跑了1.7英里,走了1.6英里.伊芙跑得比走得远多少?
汤姆跑了9英里,走了5英里.汤姆跑得比走得远多少?
罗斯在比赛中游了8英里,走了3英里.罗斯游得比走得远多少?
伊芙跑了10英里,走了5英里.伊芙跑得比走得远多少?
纳林走了1.5英里,跑了0.6英里.纳林走的比跑的远多少?
艾米丽跑了6.1111英里,走了2.444英里.艾米丽跑得比走得远多少?
阿迈勒写了7页,打了5页的作业.阿迈勒写的比打字的多多少?
球跳了3米,飞了2米.球跳得比飞得远多少?
鳄鱼跑了1.7英里,游了0.6英里.鳄鱼跑得比游得远多少?
拉希摘了20个苹果,扔了8个.拉西摘了的比扔了的多多少?
妮拉跑了11英里,走了16英里.妮拉走得比跑得远多少?
苏尼尔跑了18英里,走了21英里.维姆走的比跑得远多少?
卡塞尔游了7英里,走了13英里在一场竞赛中.卡塞尔走得比游得远多少?
艾米丽跑了12英里,走了15英里.艾米丽走的比跑的远多少?
萨翰跑了8.1111英里,走了12.444英里.萨翰走得比跑得远多少?
维姆写了整整7页,打了整整15页的作业.维姆打字比写字多多少?
红色的球跳了5米,飞了12米.球飞得比跳得远多少?
蛇跑0.7英里,游2.6英里.蛇游得比跑得远多少?
黑球跳了5米,飞了12米.球飞得比跳得远多少?
拉维跑了12英里,走了18英里.拉维走得比跑得远多少?
萨曼跑了8英里,走了11英里.萨曼走得比跑得远多少?
门蒂斯游了5英里,走了15英里在比赛中.门蒂斯走路比游泳走得远多少?
伊芙跑了10英里,走了20英里.伊芙走得比跑得远多少?
尼马尔走了10英里,跑了12.5英里.尼马尔跑得比走得远多少?
安跑了8.1111英里,走了12.444英里.安走得比跑得远多少?
凡妮莎写了7页,打了15页的作业.凡妮莎打字比写字多吗?
球跳了7米,飞了15米.球飞得比跳得远多少?
狗跑了10英里,游了16英里.狗游得比跑得远多少?
猫跑了14英里,游了20英里.猫游得比跑得远多少?
妮拉跑了12英里,走了18英里.妮拉走得比跑得远多少?
纳林跑了20英里,走了21英里.纳林走得比跑得远多少?
木如在比赛中游了8英里,走了14英里.木如走得比游得远多少?
艾米丽跑了14英里,走了20英里.艾米丽走的比跑的远多少?
尼马尔走了12英里,跑了12.5英里.尼马尔跑得比走得远多少?
尼马尔跑了4.1111英里,走了9.444英里.尼马尔走得比跑得远多少?
维姆写了8页,打了16页.维姆打字比写字多多少?
球跳了1米,飞了6米.球飞得比跳得远多少?
蛇跑了0.9英里,游了2.9英里.蛇游得比跑得远多少?
白球跳了5米,飞了12米.球飞得比跳得远多少?
伊芙跑了0.8英里,走了0.554英里.伊芙跑得比走得远多少?
维姆跑了7.2英里,走了5英里.维姆跑得比走得远多少?
在一次比赛中,拉维游了11.7英里,走了3.5英里.拉维游得比走得远多少?
伊芙跑了18英里,走了15英里.伊芙跑得比走得远多少?
萨马尔走了11英里,跑了4.6英里.萨马尔走得比跑得远多少?
阿迈勒写了9页,打了4页的作业.阿迈勒写的比打的多多少?
玩具飞机跳了3米,飞了2米.玩具飞机跳得比飞得远多少?
狗跑了1.7英里,游了0.9英里.狗跑得比游得远多少?
伊芙跑了16英里,走了8英里.伊芙跑得比走得远多少?
罗斯跑了7.3英里,走了5.4英里.罗斯跑得比走得远多少?
罗斯游了7.4英里,走了3.2英里在比赛中.罗斯游得比走得远多少?
伊芙跑了5.333333英里,走了5英里.伊芙跑得比走得远多少?
卫斯理走了1.5英里,跑了0.4英里.卫斯理走得比跑得远多少?
艾米丽跑了8.1111英里,走了1.444英里.艾米丽跑得比走得远多少?
尼马尔写了4.3页小说,他打了3.2页小说.尼马尔写作的时间比打字的时间多?
球是跳6.2米,飞2.2米.球跳得比飞得远多少?
青蛙跑了11.7英里,游了1.6英里.青蛙跑得比游得远多少?
拉西摘了15个橘子,扔了8个橘子.拉西拿了多少,扔了多少?
迪娜做了饼干,她用了0.625公斤面粉和0.25公斤糖.迪娜用的面粉比糖多多少?
罗西做了饼干,她用了2公斤面粉和1.5公斤糖.罗西用的面粉比糖多多少?
阿迈勒做了饼干,他用12公斤面粉和10升水制.阿迈勒用的面粉比水多多少?
蒂娜做了饼干,她用了0.625克面粉和0.25克糖.迪娜用的面粉比糖多多少?
维姆建造了房子,用了120公斤水泥和60公斤水.维姆使用的水泥比水多多少?
维姆建造了房子,用100公斤水泥和40公斤沙子.维姆使用的水泥比沙子多多少?
玛丽做了饼干,她用了12公斤白面粉和0.25公斤白糖.玛丽用的面粉比糖多多少?
尼马尔做了饼干,他用5公斤面粉和3公斤糖.尼马尔用的面粉比糖多多少?
苏朋写作文,用了5支钢笔和4支铅笔.苏朋用的钢笔比铅笔多多少?
阿尼尔买了辆车,他用了20刀现金,10刀支票.阿尼尔用的现金比支票多多少?
蒂娜做了饼干,用了0.625公斤面粉和1.25公斤糖.迪娜用的糖比面粉多多少?
尼马尔做了饼干,用了2公斤面粉和3.5公斤糖.尼马尔用的糖比面粉多多少?
维姆做了饼干,用了2公斤面粉和5升水做了.阿迈勒用的水比面粉多多少?
尼玛拉建了房子,用了120公斤水泥和160公斤水.尼玛拉用水量比水泥多多少?
维姆建造了房子,用了100公斤水泥和140公斤沙子.维姆使用的沙子比水泥多多少?
拉西做了布丁,用10公斤白面粉和12公斤白糖.拉西用的糖比面粉多多少?
拉贾做饼干,用了5公斤面粉和6公斤糖.拉贾用的糖比面粉多多少?
苏朋写作文,用了5支钢笔和8支铅笔.苏朋用的铅笔比钢笔多多少?
阿尼尔买了辆车,他用了现金20刀,支票30刀.阿尼尔用的支票比现金多多少?
戴安娜做了饼干,她用了1.625公斤面粉和2.25公斤糖.戴安娜用的面粉比糖少多少?
罗西做了饼干,她用了2公斤面粉和2.5公斤糖.罗西用的面粉比糖少多少?
阿迈勒做了饼干,用12公斤面粉和15升水.阿迈勒用的面粉比水少多少?
蒂娜做了饼干,用了0.625克面粉和1.25克糖.迪娜用的面粉比糖少多少?
维姆建造了房子,用了120公斤水泥和160公斤水.维姆使用的水泥比水少多少?
维姆建造了房子,用了100公斤水泥和140公斤沙子.维姆使用的水泥比沙子少多少?
玛丽做了饼干,她用了3公斤白面粉和3.25公斤白糖.玛丽用的面粉比糖少多少?
尼马尔做了饼干,他用6公斤面粉和13公斤糖.尼马尔用的面粉比糖少多少?
苏朋写作文,他用了5支钢笔和8支铅笔.苏朋用的钢笔比铅笔少多少?
阿尼尔买了辆车,他用了20刀现金,40刀支票.阿尼尔用的现金比支票少多少?
亚当做了饼干,他用1.625公斤面粉和0.25公斤糖.亚当用的面粉比糖多多少?
罗西做了糖果,她用了2公斤面粉和1.5公斤糖.罗西用的面粉比糖多多少?
阿迈勒制作了漏斗,他用11公斤面粉和10升水.阿迈勒用的面粉比水多多少?
玛丽亚制作果汁,她用了1升水和0.25公斤糖.玛丽亚喝的水比糖多多少?
维姆建了房子,他用了120公斤水泥和30公斤水.维姆使用的水泥比水多多少?
米娅盖了房子,用90公斤水泥和40公斤沙子.米娅用的水泥比沙子多多少?
里亚做了饼干,她用12公斤白面粉和1.25公斤白糖.里亚用的面粉比糖多多少?
班达拉做面包,他用15公斤面粉和3公斤人造黄油.班达拉用的面粉比人造黄油多多少?
苏朋写信,他用了4支钢笔和3支铅笔.苏朋用的钢笔比铅笔多多少?
拉杰买了辆自行车,用的是2000卢比现金和1000卢比支票.拉杰用的现金比支票多多少?
罗哈纳用了0.625公斤的面粉和1.25升水制作了料斗.罗哈纳用的面粉比水多多少?
尼马尔制作牛奶巧克力,她使用了5公斤糖和7.5公斤牛奶.尼马尔用的糖比面粉多多少?
维姆做了饼干,他用了2公斤水和5升面粉.维姆用的面粉比水多多少?
蒂娜做了饼干,她用了0.625克面粉和0.25克糖.迪娜用的面粉比糖多多少?
卡米拉建造了一座房子,她使用了120公斤水泥和160公斤水.卡米拉用的水比水泥多多少?
苏尼尔建造了一座房子,他用了100公斤沙子和140公斤水泥.苏尼尔使用的水泥比沙子多多少?
卡米拉做了布丁,她用9公斤白面粉和12公斤红糖.卡米拉比面粉多放了多少糖?
威尼斯做了咖喱鸡,用了5公斤鸡肉和6升椰奶.威尼斯用的椰奶比鸡肉多多少?
苏朋写了一个故事,他用了3支铅笔和8支钢笔.苏朋用的钢笔比铅笔多多少?
阿尼尔买了辆公交车,他用了20美元现金和30美元支票.阿尼尔用的支票比现金多多少?
雷文做了饼干,用了4.625公斤面粉和2.25公斤糖.雷文用的面粉比糖多多少?
卡米尔做了糖面包,用了7.1公斤面粉和3.5公斤糖制.卡米尔面粉比糖多用了多少?
维姆做了饼干,他用了5.5公斤面粉和5升牛奶.维姆用的面粉比牛奶多多少?
卡米拉做了饼干,她用了4杯面粉和1杯糖.卡米拉用的面粉比糖多多少?
尼玛拉建造了一座房子,她使用了60公斤水泥和40升水.尼玛拉用的水泥比水多多少?
维姆建造了房子,他用150公斤水泥和140公斤沙子.维姆使用的水泥比沙子多多少?
拉什做了布丁,她用了9公斤白面粉和6公斤白糖.拉什用的面粉比糖多多少?
罗佳做了巧克力饼干,她用了15公斤面粉和10公斤糖.罗佳用的面粉比糖多多少?
尼普尼为一个比赛写作文,他用了10支钢笔和9支铅笔.尼普尼使用的钢笔比铅笔多多少?
阿尼尔买了一辆新车,他用了现金40刀,支票30刀.阿尼尔用的现金比支票多多少?
拉胡尔做了饼干,他用了0.625公斤面粉和2.25升水.拉胡尔用的面粉比水多多少?
卡米拉制作牛奶巧克力,用了5公斤糖和7.5公斤牛奶.卡米拉用的糖比面粉多多少?
维姆做了饼干,他用5公升水和8公斤面粉.维姆用的面粉比水多多少?
戴安娜做了饼干,她用了0.625克面粉和1.25克糖.黛安娜用的糖比面粉多多少?
阿拉丁建造了一座房子,用了100公斤水泥和160公斤水.阿拉丁用的水比水泥多多少?
